dataset,alpha,group,point,lower,upper,true_mean,penalized_mean,covers_true_mean,covers_penalized_mean
10,0.01,0,0.2981121322122272,0.10872933056025606,0.45104287806044496,0.2,0.2153846153846154,true,true
10,0.01,1,1.0814222750583993,0.9320661672753154,1.2328467053370353,1.0,0.9846153846153847,true,true
10,0.3,0,0.5060020965866623,0.3334777571981662,0.6402904613038338,0.2,0.4181818181818182,false,true
10,0.3,1,0.8762858201458773,0.7580079662999215,0.9943723950040906,1.0,0.7818181818181817,false,true
11,0.0,0,0.18046501069754362,-0.0009431468406249015,0.3067303704707863,0.2,0.2,true,true
11,0.0,1,0.9442639040374781,0.793515108403388,1.1135187711823842,1.0,1.0,true,true
11,0.01,0,0.19467902218857547,0.017633441442593347,0.3191350718767494,0.2,0.2153846153846154,true,true
11,0.01,1,0.9290696158918922,0.7813865964559564,1.0955813588723848,1.0,0.9846153846153847,true,true
11,0.3,0,0.38193192445370605,0.26085300767262465,0.47810987077176587,0.2,0.4181818181818182,false,true
11,0.3,1,0.7289027203670972,0.6144195551591222,0.8550438574598705,1.0,0.7818181818181817,false,true
12,0.0,0,0.2415289713596928,0.08225404472529298,0.39138277066053456,0.2,0.2,true,true
12,0.0,1,1.014347031902981,0.8856492346317342,1.1570789616965615,1.0,1.0,true,true
12,0.01,0,0.2572264242521131,0.10129084406270288,0.4043871683031852,0.2,0.2153846153846154,true,true
12,0.01,1,1.0002391944933375,0.8747637584351122,1.139891942778237,1.0,0.9846153846153847,true,true
12,0.3,0,0.46382593755690854,0.3359232061215008,0.5717890751120149,0.2,0.4181818181818182,false,true
12,0.3,1,0.8145611508902935,0.698202988759478,0.9216065109969691,1.0,0.7818181818181817,false,true
13,0.0,0,0.19806192809898904,0.0718717839455856,0.3298604118988969,0.2,0.2,true,true
13,0.0,1,1.0535753971598874,0.8683965524370535,1.2004373229023362,1.0,1.0,true,true
13,0.01,0,0.21319756736479883,0.09025889452136494,0.34310273962146803,0.2,0.2153846153846154,true,true
13,0.01,1,1.0355673008071353,0.8548872723495073,1.176098298595108,1.0,0.9846153846153847,true,true
13,0.3,0,0.4118926040131378,0.2979457375469331,0.5198879380522277,0.2,0.4181818181818182,false,true
13,0.3,1,0.7991637170576518,0.676018220662514,0.9043007959480666,1.0,0.7818181818181817,false,true
14,0.0,0,0.22511686696023658,0.05787695667077727,0.41306547626914364,0.2,0.2,true,true
