dataset,alpha,group,point,lower,upper,true_mean,penalized_mean,covers_true_mean,covers_penalized_mean
28,0.3,0,0.4382046058931436,0.30334880345873194,0.5747684018855438,0.2,0.4181818181818182,false,true
28,0.3,1,0.7807946261751586,0.6754356039093826,0.8997114247194926,1.0,0.7818181818181817,false,true
29,0.0,0,0.21526818344514276,0.04312742471163136,0.3760456979061128,0.2,0.2,true,true
29,0.0,1,0.9961477508783684,0.8215408129033605,1.1671282536299465,1.0,1.0,true,true
29,0.01,0,0.22916929029573418,0.06163574464404704,0.3867898712348679,0.2,0.2153846153846154,true,true
29,0.01,1,0.9798290602276741,0.8091124044576612,1.1483289575331619,1.0,0.9846153846153847,true,true
29,0.3,0,0.4117696063222126,0.2765135482179218,0.5473544102929989,0.2,0.4181818181818182,false,true
29,0.3,1,0.7654721675009385,0.6260883376770575,0.9030443702505356,1.0,0.7818181818181817,false,true
30,0.0,0,0.21158286233714868,0.07865302621678685,0.3766968005152123,0.2,0.2,true,true
30,0.0,1,0.9973318591021807,0.8146275978808722,1.173999306271871,1.0,1.0,true,true
30,0.01,0,0.225926754718958,0.09468563465836784,0.38849371694051654,0.2,0.2153846153846154,true,true
30,0.01,1,0.9813717534942521,0.8023920557283428,1.1560779266816616,1.0,0.9846153846153847,true,true
30,0.3,0,0.41471159804912194,0.30778367585428307,0.5583762197256519,0.2,0.4181818181818182,false,true
30,0.3,1,0.7713153785212528,0.6418116101956551,0.9273394412170152,1.0,0.7818181818181817,false,true
31,0.0,0,0.12798705732533117,-0.014891643518259048,0.2690956012330951,0.2,0.2,true,true
31,0.0,1,1.0357619336899484,0.9193033400576228,1.1958635985716068,1.0,1.0,true,true
31,0.01,0,0.14617052942508468,0.004774961245698678,0.2846915188935608,0.2,0.2153846153846154,true,true
31,0.01,1,1.0189771902132527,0.9037779901713935,1.175377310981693,1.0,0.9846153846153847,true,true
31,0.3,0,0.385652415245419,0.279043596433238,0.5024354527000584,0.2,0.4181818181818182,false,true
31,0.3,1,0.7979169879175596,0.6802975361814098,0.9241540183901387,1.0,0.7818181818181817,false,true
32,0.0,0,0.1358338967545646,0.0033703430348095142,0.2713274044519673,0.2,0.2,true,true
32,0.0,1,1.0270472624744904,0.8761308287918614,1.1936395584388144,1.0,1.0,true,true
32,0.01,0,0.15241904388133098,0.024202404920472216,0.2848191011668872,0.2,0.2153846153846154,true,true
32,0.01,1,1.009318312097602,0.8617483936446966,1.1708671621859092,1.0,0.9846153846153847,true,true
32,0.3,0,0.3709088724522912,0.2719355173592689,0.4760971467391005,0.2,0.4181818181818182,false,true
32,0.3,1,0.7757602194872653,0.6624894051892176,0.8952790122255952,1.0,0.7818181818181817,false,true
33,0.0,0,0.27085410488168027,0.1295718714917668,0.40677539869107004,0.2,0.2,true,true
33,0.0,1,1.0536713883811362,0.84268561798425,1.1807990830426374,1.0,1.0,true,true
33,0.01,0,0.28721328959877424,0.15031354389065735,0.42194988061880045,0.2,0.2153846153846154,true,true
33,0.01,1,1.0397357865850934,0.8323789033951382,1.164298020529679,1.0,0.9846153846153847,true,true
33,0.3,0,0.5021020989132482,0.3916186413363811,0.6056777351473062,0.2,0.4181818181818182,false,true
33,0.3,1,0.856682356428319,0.7006313792604691,0.9712082834695901,1.0,0.7818181818181817,false,true
34,0.0,0,0.0728479032927638,-0.07760345936157989,0.22612894097114442,0.2,0.2,true,true
34,0.0,1,0.9808833662676717,0.8233897069665312,1.1340276386758392,1.0,1.0,true,true
34,0.01,0,0.09078804971315413,-0.05729762367977859,0.24048969449356375,0.2,0.2153846153846154,true,true
34,0.01,1,0.9638751755054835,0.8077343652956329,1.1142614544540494,1.0,0.9846153846153847,true,true
34,0.3,0,0.32718004129357664,0.19842246593136348,0.45230393535191327,0.2,0.4181818181818182,true,true
34,0.3,1,0.7397632873837843,0.6317355019824965,0.859027704408702,1.0,0.7818181818181817,false,true
35,0.0,0,0.12599863187864546,-0.03784702676019134,0.31999973025351247,0.2,0.2,true,true
35,0.0,1,0.9924696968248515,0.8569172750331653,1.1565916988902487,1.0,1.0,true,true
35,0.01,0,0.1443706265327368,-0.01436085200258867,0.3366920444231006,0.2,0.2153846153846154,true,true
35,0.01,1,0.9772343841848733,0.8425724057066004,1.1385478288755697,1.0,0.9846153846153847,true,true
35,0.3,0,0.38539164093685574,0.2429016628856207,0.5287639977413507,0.2,0.4181818181818182,false,true
35,0.3,1,0.7773632990692625,0.6735945399936539,0.909289895015962,1.0,0.7818181818181817,false,true
36,0.0,0,0.15975444349323065,0.02696040728718409,0.34086561261022247,0.2,0.2,true,true
36,0.0,1,0.9001577986677646,0.7597511312636591,1.0744333508954067,1.0,1.0,true,true
36,0.01,0,0.17327054862283087,0.041082529448629154,0.35125442645053495,0.2,0.2153846153846154,true,true
36,0.01,1,0.8851187521151107,0.7475573922528266,1.056942001596552,1.0,0.9846153846153847,true,true
36,0.3,0,0.3511606025500019,0.23441999804855723,0.5115274036235354,0.2,0.4181818181818182,false,true
36,0.3,1,0.6871847484496669,0.5732083684941665,0.8215555128911533,1.0,0.7818181818181817,false,true
37,0.0,0,0.2011263645890814,0.051505990100255514,0.36819083815737336,0.2,0.2,true,true
37,0.0,1,1.0451951563235657,0.9008924243071479,1.2050653632475317,1.0,1.0,true,true
37,0.01,0,0.2172509318742351,0.06941534640790079,0.38091008784490105,0.2,0.2153846153846154,true,true
37,0.01,1,1.0288541518936447,0.8878626656109281,1.1853613992748344,1.0,0.9846153846153847,true,true
37,0.3,0,0.42979689322924436,0.2913750897489622,0.5621404989358644,0.2,0.4181818181818182,false,true
37,0.3,1,0.8134552246144071,0.6901600587310751,0.927162500791754,1.0,0.7818181818181817,false,true
38,0.0,0,0.12495467827511725,-0.01726622371229097,0.27939949616617105,0.2,0.2,true,true
38,0.0,1,1.0076282214298882,0.8269580620035701,1.1837848646838436,1.0,1.0,true,true
38,0.01,0,0.14066790698452875,0.0014100987591339686,0.29200979826594353,0.2,0.2153846153846154,true,true
38,0.01,1,0.9891822572927529,0.8118015410000579,1.1616153020922266,1.0,0.9846153846153847,true,true
38,0.3,0,0.34707165302959997,0.23995313005753918,0.483825030596904,0.2,0.4181818181818182,false,true
38,0.3,1,0.7468822075876691,0.6249865282333285,0.8999791526234184,1.0,0.7818181818181817,false,true
39,0.0,0,0.32014376602183775,0.1950766647182529,0.4507157100810826,0.2,0.2,true,true
39,0.0,1,1.0835391851953162,0.9258218447414838,1.2298193040710361,1.0,1.0,true,true
39,0.01,0,0.33587036693184935,0.21405984559672206,0.46514549899211954,0.2,0.2153846153846154,false,true
39,0.01,1,1.0697784093990559,0.9147569952717768,1.2138790484249318,1.0,0.9846153846153847,true,true
39,0.3,0,0.5426719853760501,0.4552964189267319,0.6423991576162373,0.2,0.4181818181818182,false,false
39,0.3,1,0.8888269932603805,0.7666520615678921,0.9963690186565225,1.0,0.7818181818181817,false,true
40,0.0,0,0.12633085541996958,-0.028134934800322794,0.2600852966448741,0.2,0.2,true,true
40,0.0,1,1.069872501321917,0.899549178537839,1.228999014868498,1.0,1.0,true,true
40,0.01,0,0.14400410383363083,-0.009389349414283897,0.2740222081280665,0.2,0.2153846153846154,true,true
40,0.01,1,1.0512308557349042,0.885733230497594,1.205930980155096,1.0,0.9846153846153847,true,true
40,0.3,0,0.3768792594930353,0.25666027267008773,0.48928694743525913,0.2,0.4181818181818182,false,true
40,0.3,1,0.8055954175736146,0.6732025478170658,0.9250104881704173,1.0,0.7818181818181817,false,true
41,0.0,0,0.08833862944202192,-0.04465559991618709,0.21995569525748057,0.2,0.2,true,true
41,0.0,1,1.029163292582746,0.8646195804317843,1.1356119147784562,1.0,1.0,true,true
41,0.01,0,0.10619322640024037,-0.02521899503627383,0.23460789123622788,0.2,0.2153846153846154,true,true
41,0.01,1,1.0108261389499813,0.8478046845470553,1.1157515662727187,1.0,0.9846153846153847,true,true
41,0.3,0,0.3415264529638104,0.2246065263808331,0.441878000869736,0.2,0.4181818181818182,false,true
41,0.3,1,0.7691325549117201,0.6262925080353408,0.866086482834052,1.0,0.7818181818181817,false,true
42,0.0,0,0.27029244652304135,0.10241589013587182,0.39463203407948033,0.2,0.2,true,true
42,0.0,1,0.9926113170305333,0.8444788041459456,1.1090058971946997,1.0,1.0,true,true
42,0.01,0,0.28595086693428523,0.12365432654354963,0.4074511514861753,0.2,0.2153846153846154,true,true
